grid_dim,n_train,n_holdout,n_test,p_features,polykernel_degree,polykernel_noise_half_width,SPOplus_spoloss_test,LS_spoloss_test,RF_spoloss_test,Absolute_spoloss_test,zstar_avg_test
5.0,100.0,25.0,10000.0,5.0,1.0,0.0,1.2410630205209832,0.0019084841685823,0.1408728091284937,0.0019084841685823,29.643063336918217
5.0,100.0,25.0,10000.0,5.0,1.0,0.0,1.6897893885176178,0.0011762915813317,0.1324994651342941,0.0011762915813317,29.29281665600583
5.0,100.0,25.0,10000.0,5.0,1.0,0.0,1.3946698964445263,0.0019895500203171,0.1669231701727099,0.0019895500203171,29.52914206969207
5.0,100.0,25.0,10000.0,5.0,1.0,0.5,5.602168588117215,4.431770276380569,5.128433764498398,4.431770276380569,25.61244937517284
5.0,100.0,25.0,10000.0,5.0,1.0,0.5,6.065109432012466,4.628723237992197,5.202337316095012,4.628723237992197,25.781867417432
5.0,100.0,25.0,10000.0,5.0,1.0,0.5,6.298045854837799,4.879151732840317,4.858289555874675,4.879151732840317,25.5345346846154
5.0,100.0,25.0,10000.0,5.0,2.0,0.0,9.180964345222916,0.1209337183157704,0.8791268266370631,0.1209337183157704,70.94760182885102
5.0,100.0,25.0,10000.0,5.0,2.0,0.0,8.439720537386613,0.0736586405292544,0.7086071501913953,0.0736586405292544,70.63871661748819
5.0,100.0,25.0,10000.0,5.0,2.0,0.0,8.601532268512429,0.0935749774943549,0.988350405867412,0.0935749774943549,70.30503045194793
5.0,100.0,25.0,10000.0,5.0,2.0,0.5,13.977597054799656,7.518115414277291,9.86059637729148,7.518115414277291,63.523722975592335
5.0,100.0,25.0,10000.0,5.0,2.0,0.5,13.90088165477282,6.340736886685723,8.062073410071697,6.340736886685723,62.44697500526152
5.0,100.0,25.0,10000.0,5.0,2.0,0.5,14.751994060266211,6.687840404737066,8.178215412051603,6.687840404737066,62.29702613860311
5.0,100.0,25.0,10000.0,5.0,4.0,0.0,162.82871788798084,9.930539255701929,29.438422856898345,9.930539255701929,607.5166486437554
5.0,100.0,25.0,10000.0,5.0,4.0,0.0,185.8335989965537,7.516744183401631,32.26358563483822,7.516744183401631,587.0302957632798
5.0,100.0,25.0,10000.0,5.0,4.0,0.0,138.9865980636229,12.182955204415473,25.805926436886,12.182955204415473,572.1851004370786
5.0,100.0,25.0,10000.0,5.0,4.0,0.5,186.4778432548078,44.02303822004657,67.61999565253545,44.02303822004657,519.2660467565838
5.0,100.0,25.0,10000.0,5.0,4.0,0.5,213.8937343316977,50.670442309608674,71.6208918634375,50.670442309608674,541.9167424563143
5.0,100.0,25.0,10000.0,5.0,4.0,0.5,189.7915466879029,54.54830190603011,75.69587301558323,54.54830190603011,568.3084690863839
5.0,100.0,25.0,10000.0,5.0,6.0,0.0,3133.426203781598,386.85210053536576,550.9654041923919,386.85210053536576,5514.777428827636
5.0,100.0,25.0,10000.0,5.0,6.0,0.0,3046.7815200707046,420.3449816596073,747.2713288125204,420.3449816596073,6098.820002116172
5.0,100.0,25.0,10000.0,5.0,6.0,0.0,2237.2500106090224,357.71976003319287,656.5193628270298,357.71976003319287,5972.595642616014
5.0,100.0,25.0,10000.0,5.0,6.0,0.5,2324.2213468802897,719.638882060978,968.5666518263148,719.638882060978,5162.313645379094
5.0,100.0,25.0,10000.0,5.0,6.0,0.5,3499.295675341096,687.4955061263156,1067.7198209679136,687.4955061263156,5563.1623836744575
5.0,100.0,25.0,10000.0,5.0,6.0,0.5,2996.35775134503,1012.5187670832012,1458.4648955673724,1012.5187670832012,6362.530844537214
5.0,100.0,25.0,10000.0,5.0,8.0,0.0,51559.40910505266,159614.89965058467,27687.52872843308,159614.89965058467,90783.86497374027
5.0,100.0,25.0,10000.0,5.0,8.0,0.0,55181.84351122545,95639.53534314492,7215.400563178827,95639.53534314492,51770.95189094107
5.0,100.0,25.0,10000.0,5.0,8.0,0.0,51248.53738329368,98913.73938188792,18584.785836022773,98913.73938188792,72497.20351698525
5.0,100.0,25.0,10000.0,5.0,8.0,0.5,68869.68282145324,107640.5190464888,18782.66922558956,107640.5190464888,70874.4422676861
5.0,100.0,25.0,10000.0,5.0,8.0,0.5,70670.38018771542,10599.883548575312,13285.334838484056,10599.883548575312,66454.80803699617
5.0,100.0,25.0,10000.0,5.0,8.0,0.5,92974.67000160489,13619.120792683048,18436.847971261188,13619.120792683048,73165.7137871561
5.0,1000.0,250.0,10000.0,5.0,1.0,0.0,1.4671873486643108,0.0010864728538491,0.0359992728970813,0.0010864728538491,29.831716679071864
5.0,1000.0,250.0,10000.0,5.0,1.0,0.0,1.4951532285486069,2.788880237858393e-17,0.0380499123344673,2.788880237858393e-17,29.514716302600327
5.0,1000.0,250.0,10000.0,5.0,1.0,0.0,1.850718283436564,0.0014650961276472,0.0390395272851377,0.0014650961276472,29.584286513369
5.0,1000.0,250.0,10000.0,5.0,1.0,0.5,5.301486427549087,4.029376140986173,4.479360715813424,4.029376140986173,25.607069901056285
5.0,1000.0,250.0,10000.0,5.0,1.0,0.5,5.267335129526328,4.117091344326158,4.581178683999732,4.117091344326158,25.66485898221477
5.0,1000.0,250.0,10000.0,5.0,1.0,0.5,5.364029435148312,3.795703984903749,4.232391842829411,3.795703984903749,25.475554605194887
5.0,1000.0,250.0,10000.0,5.0,2.0,0.0,8.596716894454204,0.1485049695263883,0.2452611878194135,0.1485049695263883,70.23625819696441
5.0,1000.0,250.0,10000.0,5.0,2.0,0.0,8.93558712649574,0.0884545277602313,0.2544410172838953,0.0884545277602313,71.27373307930553
5.0,1000.0,250.0,10000.0,5.0,2.0,0.0,8.080549923879328,0.0504164659244446,0.2010224439065455,0.0504164659244446,70.49061363404805
5.0,1000.0,250.0,10000.0,5.0,2.0,0.5,13.31562840683172,6.07652524059977,6.796346221046153,6.07652524059977,62.42359429006834
5.0,1000.0,250.0,10000.0,5.0,2.0,0.5,15.711675830716208,6.340755167192243,7.321786500048908,6.340755167192243,63.12518926234158
5.0,1000.0,250.0,10000.0,5.0,2.0,0.5,15.254314074402595,6.785752094984158,7.460207262399196,6.785752094984158,62.8048361744307
5.0,1000.0,250.0,10000.0,5.0,4.0,0.0,189.99575886741223,5.553967430139253,8.438843099010368,5.553967430139253,596.2611379464887
5.0,1000.0,250.0,10000.0,5.0,4.0,0.0,158.8968012640914,11.427837752500944,6.959924508845121,11.427837752500944,611.2698096771542
5.0,1000.0,250.0,10000.0,5.0,4.0,0.0,207.4476884078385,8.042038850924357,7.302273401718069,8.042038850924357,598.3040638915246
5.0,1000.0,250.0,10000.0,5.0,4.0,0.5,177.34312354279527,51.190882952239285,50.52610258340716,51.190882952239285,557.2089106600063
5.0,1000.0,250.0,10000.0,5.0,4.0,0.5,170.08610087739086,41.02773042631466,47.17639142358276,41.02773042631466,545.9870639167398
5.0,1000.0,250.0,10000.0,5.0,4.0,0.5,231.97033557677963,36.70787243773778,37.73568178217492,36.70787243773778,514.3368629228393
5.0,1000.0,250.0,10000.0,5.0,6.0,0.0,3101.8999916304824,383.5366998969714,165.9255417881511,383.5366998969714,6271.369921020067
5.0,1000.0,250.0,10000.0,5.0,6.0,0.0,3454.051033245641,402.9359828826298,277.89477215179096,402.9359828826298,6845.965004097818
5.0,1000.0,250.0,10000.0,5.0,6.0,0.0,2836.2476458138703,251.31590178368128,170.61901221654577,251.31590178368128,5823.227200954884
5.0,1000.0,250.0,10000.0,5.0,6.0,0.5,3348.6711940915934,453.99287725864593,445.6234230303408,453.99287725864593,5388.854952340247
5.0,1000.0,250.0,10000.0,5.0,6.0,0.5,3193.823713204393,537.6352880968857,518.2894441642542,537.6352880968857,5982.519868096701
5.0,1000.0,250.0,10000.0,5.0,6.0,0.5,3197.926891671936,729.0090924226906,616.4703651933178,729.0090924226906,6107.378485863124
5.0,1000.0,250.0,10000.0,5.0,8.0,0.0,78744.64264569205,113087.49845044284,7468.592740123172,113087.49845044284,80670.8917475628
5.0,1000.0,250.0,10000.0,5.0,8.0,0.0,54444.26777786415,62850.084469656686,4613.028848324499,62850.084469656686,75111.83376002935
